"sector_desc_drc","sector_code","sector_code_uppercase","sector_desc_demand"
"1111a0/fresh soybeans, canola, flaxseeds, and other oilseeds/us","1111a0","1111A0","Fresh soybeans, canola, flaxseeds, and other oilseeds"
"1111b0/fresh wheat, corn, rice, and other grains/us","1111b0","1111B0","Fresh wheat, corn, rice, and other grains"
"111200/fresh vegetables, melons, and potatoes/us","111200","111200","Fresh vegetables, melons, and potatoes"
"111300/fresh fruits and tree nuts/us","111300","111300","Fresh fruits and tree nuts"
"111400/greenhouse crops, mushrooms, nurseries, and flowers/us","111400","111400","Greenhouse crops, mushrooms, nurseries, and flowers"
"111900/tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops/us","111900","111900","Tobacco, cotton, sugarcane, peanuts, sugar beets, herbs and spices, and other crops"
"112120/dairies/us","112120","112120","Dairies"
"1121a0/cattle ranches and feedlots/us","1121a0","1121A0","Cattle ranches and feedlots"
"112300/poultry farms/us","112300","112300","Poultry farms"
"112a00/animal farms and aquaculture ponds (except cattle and poultry)/us","112a00","112A00","Animal farms and aquaculture ponds (except cattle and poultry)"
"113000/timber and raw forest products/us","113000","113000","Timber and raw forest products"
"114000/wild-caught fish and game/us","114000","114000","Wild-caught fish and game"
"115000/agriculture and forestry support/us","115000","115000","Agriculture and forestry support"
"211000/unrefined oil and gas/us","211000","211000","Unrefined oil and gas"
"212100/coal/us","212100","212100","Coal"
"212230/copper, nickel, lead, and zinc/us","212230","212230","Copper, nickel, lead, and zinc"
"2122a0/iron, gold, silver, and other metal ores/us","2122a0","2122A0","Iron, gold, silver, and other metal ores"
"212310/dimensional stone/us","212310","212310","Dimensional stone"
"2123a0/sand, gravel, clay, phosphate, other nonmetallic minerals/us","2123a0","2123A0","Sand, gravel, clay, phosphate, other nonmetallic minerals"
"213111/well drilling/us","213111","213111","Well drilling"
"21311a/other support activities for mining/us","21311a","21311A","Other support activities for mining"
"221100/electricity/us","221100","221100","Electricity"
"221200/natural gas/us","221200","221200","Natural gas"
"221300/drinking water and wastewater treatment/us","221300","221300","Drinking water and wastewater treatment"
"233210/health care structures/us","233210","233210","Health care structures"
"233262/educational and vocational structures/us","233262","233262","Educational and vocational structures"
"230301/nonresidential maintenance and repair/us","230301","230301","Nonresidential maintenance and repair"
"230302/residential maintenance and repair/us","230302","230302","Residential maintenance and repair"
"2332a0/commercial structures, including farm structures/us","2332a0","2332A0","Commercial structures, including farm structures"
